Bevolking," leeftijd, migratieachtergrond, geslacht en regio, 1 januari",,,,,,,
,,Onderwerpen,Totale bevolking,Totale bevolking,Totale bevolking,Eerste generatie migratieachtergrond,Eerste generatie migratieachtergrond,Eerste generatie migratieachtergrond
70 tot 75 jaar,Sint-Michielsgestel,Niet-westerse migratieachtergrond,7,3,4,7,3,4
70 tot 75 jaar,Sittard-Geleen,Totaal,5039,2485,2554,391,223,168
70 tot 75 jaar,Sittard-Geleen,Nederlandse achtergrond,3872,1876,1996, , , 
70 tot 75 jaar,Sittard-Geleen,Westerse migratieachtergrond,1038,522,516,265,137,128
70 tot 75 jaar,Sittard-Geleen,Niet-westerse migratieachtergrond,129,87,42,126,86,40
70 tot 75 jaar,Sliedrecht,Totaal,1185,556,629,46,22,24
70 tot 75 jaar,Sliedrecht,Nederlandse achtergrond,1106,517,589, , , 
70 tot 75 jaar,Sliedrecht,Westerse migratieachtergrond,61,31,30,28,14,14
70 tot 75 jaar,Sliedrecht,Niet-westerse migratieachtergrond,18,8,10,18,8,10
70 tot 75 jaar,Slochteren,Totaal,783,417,366,22,10,12
70 tot 75 jaar,Slochteren,Nederlandse achtergrond,744,399,345, , , 
70 tot 75 jaar,Slochteren,Westerse migratieachtergrond,37,17,20,20,9,11
70 tot 75 jaar,Slochteren,Niet-westerse migratieachtergrond,2,1,1,2,1,1
70 tot 75 jaar,Sluis,Totaal,1609,794,815,186,67,119
70 tot 75 jaar,Sluis,Nederlandse achtergrond,1312,668,644, , , 
70 tot 75 jaar,Sluis,Westerse migratieachtergrond,287,122,165,176,63,113
70 tot 75 jaar,Sluis,Niet-westerse migratieachtergrond,10,4,6,10,4,6
70 tot 75 jaar,Smallingerland,Totaal,3061,1431,1630,79,39,40
70 tot 75 jaar,Smallingerland,Nederlandse achtergrond,2890,1345,1545, , , 
70 tot 75 jaar,Smallingerland,Westerse migratieachtergrond,145,73,72,54,27,27
70 tot 75 jaar,Smallingerland,Niet-westerse migratieachtergrond,26,13,13,25,12,13
70 tot 75 jaar,Soest,Totaal,2646,1272,1374,181,83,98
70 tot 75 jaar,Soest,Nederlandse achtergrond,2319,1122,1197, , , 
70 tot 75 jaar,Soest,Westerse migratieachtergrond,249,111,138,107,46,61
70 tot 75 jaar,Soest,Niet-westerse migratieachtergrond,78,39,39,74,37,37
70 tot 75 jaar,Someren,Totaal,915,456,459,14,7,7
70 tot 75 jaar,Someren,Nederlandse achtergrond,864,436,428, , , 
70 tot 75 jaar,Someren,Westerse migratieachtergrond,46,17,29,9,4,5
70 tot 75 jaar,Someren,Niet-westerse migratieachtergrond,5,3,2,5,3,2
70 tot 75 jaar,Son en Breugel,Totaal,921,412,509,45,14,31
70 tot 75 jaar,Son en Breugel,Nederlandse achtergrond,832,381,451, , , 
70 tot 75 jaar,Son en Breugel,Westerse migratieachtergrond,79,29,50,36,12,24
70 tot 75 jaar,Son en Breugel,Niet-westerse migratieachtergrond,10,2,8,9,2,7
70 tot 75 jaar,Stadskanaal,Totaal,2033,976,1057,41,21,20
70 tot 75 jaar,Stadskanaal,Nederlandse achtergrond,1939,928,1011, , , 
70 tot 75 jaar,Stadskanaal,Westerse migratieachtergrond,86,46,40,33,19,14
70 tot 75 jaar,Stadskanaal,Niet-westerse migratieachtergrond,8,2,6,8,2,6
70 tot 75 jaar,Staphorst,Totaal,659,318,341,5,3,2
70 tot 75 jaar,Staphorst,Nederlandse achtergrond,643,312,331, , , 
70 tot 75 jaar,Staphorst,Westerse migratieachtergrond,15,5,10,4,2,2
70 tot 75 jaar,Staphorst,Niet-westerse migratieachtergrond,1,1,0,1,1,0
70 tot 75 jaar,Stede Broec,Totaal,1376,713,663,52,33,19
70 tot 75 jaar,Stede Broec,Nederlandse achtergrond,1269,648,621, , , 
70 tot 75 jaar,Stede Broec,Westerse migratieachtergrond,89,56,33,35,25,10
70 tot 75 jaar,Stede Broec,Niet-westerse migratieachtergrond,18,9,9,17,8,9
70 tot 75 jaar,Steenbergen,Totaal,1380,682,698,37,14,23
70 tot 75 jaar,Steenbergen,Nederlandse achtergrond,1307,651,656, , , 
70 tot 75 jaar,Steenbergen,Westerse migratieachtergrond,60,25,35,25,9,16
70 tot 75 jaar,Steenbergen,Niet-westerse migratieachtergrond,13,6,7,12,5,7
70 tot 75 jaar,Steenwijkerland,Totaal,2433,1171,1262,44,19,25
70 tot 75 jaar,Steenwijkerland,Nederlandse achtergrond,2320,1127,1193, , , 
70 tot 75 jaar,Steenwijkerland,Westerse migratieachtergrond,91,30,61,24,7,17
70 tot 75 jaar,Steenwijkerland,Niet-westerse migratieachtergrond,22,14,8,20,12,8
70 tot 75 jaar,Stein (L.),Totaal,1675,825,850,80,41,39
70 tot 75 jaar,Stein (L.),Nederlandse achtergrond,1379,682,697, , , 
70 tot 75 jaar,Stein (L.),Westerse migratieachtergrond,286,137,149,71,35,36
70 tot 75 jaar,Stein (L.),Niet-westerse migratieachtergrond,10,6,4,9,6,3
70 tot 75 jaar,Stichtse Vecht,Totaal,3249,1531,1718,210,96,114
70 tot 75 jaar,Stichtse Vecht,Nederlandse achtergrond,2894,1369,1525, , , 
70 tot 75 jaar,Stichtse Vecht,Westerse migratieachtergrond,264,116,148,126,55,71
70 tot 75 jaar,Stichtse Vecht,Niet-westerse migratieachtergrond,91,46,45,84,41,43
70 tot 75 jaar,Strijen,Totaal,506,263,243,16,7,9
70 tot 75 jaar,Strijen,Nederlandse achtergrond,483,253,230, , , 
70 tot 75 jaar,Strijen,Westerse migratieachtergrond,17,6,11,11,4,7
70 tot 75 jaar,Strijen,Niet-westerse migratieachtergrond,6,4,2,5,3,2
70 tot 75 jaar,Súdwest-Fryslân,Totaal,4821,2384,2437,104,54,50
70 tot 75 jaar,Súdwest-Fryslân,Nederlandse achtergrond,4521,2230,2291, , , 
70 tot 75 jaar,Súdwest-Fryslân,Westerse migratieachtergrond,277,145,132,83,46,37
70 tot 75 jaar,Súdwest-Fryslân,Niet-westerse migratieachtergrond,23,9,14,21,8,13
70 tot 75 jaar,Terneuzen,Totaal,3479,1678,1801,327,164,163
70 tot 75 jaar,Terneuzen,Nederlandse achtergrond,2926,1399,1527, , , 
70 tot 75 jaar,Terneuzen,Westerse migratieachtergrond,485,248,237,262,134,128
70 tot 75 jaar,Terneuzen,Niet-westerse migratieachtergrond,68,31,37,65,30,35
70 tot 75 jaar,Terschelling,Totaal,275,151,124,4,4,0
70 tot 75 jaar,Terschelling,Nederlandse achtergrond,260,140,120, , , 
70 tot 75 jaar,Terschelling,Westerse migratieachtergrond,15,11,4,4,4,0
70 tot 75 jaar,Terschelling,Niet-westerse migratieachtergrond,0,0,0,0,0,0
70 tot 75 jaar,Texel,Totaal,938,482,456,27,13,14
70 tot 75 jaar,Texel,Nederlandse achtergrond,878,458,420, , , 
70 tot 75 jaar,Texel,Westerse migratieachtergrond,58,23,35,25,12,13
70 tot 75 jaar,Texel,Niet-westerse migratieachtergrond,2,1,1,2,1,1
70 tot 75 jaar,Teylingen,Totaal,1646,796,850,76,36,40
70 tot 75 jaar,Teylingen,Nederlandse achtergrond,1505,728,777, , , 
70 tot 75 jaar,Teylingen,Westerse migratieachtergrond,121,56,65,56,24,32
70 tot 75 jaar,Teylingen,Niet-westerse migratieachtergrond,20,12,8,20,12,8
70 tot 75 jaar,Tholen,Totaal,1290,631,659,23,12,11
70 tot 75 jaar,Tholen,Nederlandse achtergrond,1229,601,628, , , 
70 tot 75 jaar,Tholen,Westerse migratieachtergrond,55,27,28,18,9,9
70 tot 75 jaar,Tholen,Niet-westerse migratieachtergrond,6,3,3,5,3,2
70 tot 75 jaar,Tiel,Totaal,1876,928,948,201,110,91
70 tot 75 jaar,Tiel,Nederlandse achtergrond,1602,780,822, , , 
70 tot 75 jaar,Tiel,Westerse migratieachtergrond,153,82,71,83,45,38
70 tot 75 jaar,Tiel,Niet-westerse migratieachtergrond,121,66,55,118,65,53
70 tot 75 jaar,Tilburg,Totaal,8986,4337,4649,734,368,366
70 tot 75 jaar,Tilburg,Nederlandse achtergrond,7831,3770,4061, , , 
70 tot 75 jaar,Tilburg,Westerse migratieachtergrond,688,322,366,274,126,148
70 tot 75 jaar,Tilburg,Niet-westerse migratieachtergrond,467,245,222,460,242,218
70 tot 75 jaar,Tubbergen,Totaal,934,461,473,15,7,8
70 tot 75 jaar,Tubbergen,Nederlandse achtergrond,870,434,436, , , 
70 tot 75 jaar,Tubbergen,Westerse migratieachtergrond,60,26,34,13,6,7
70 tot 75 jaar,Tubbergen,Niet-westerse migratieachtergrond,4,1,3,2,1,1
70 tot 75 jaar,Twenterand,Totaal,1658,827,831,18,11,7
70 tot 75 jaar,Twenterand,Nederlandse achtergrond,1566,776,790, , , 
70 tot 75 jaar,Twenterand,Westerse migratieachtergrond,89,50,39,15,10,5
70 tot 75 jaar,Twenterand,Niet-westerse migratieachtergrond,3,1,2,3,1,2
70 tot 75 jaar,Tynaarlo,Totaal,1979,956,1023,43,15,28
70 tot 75 jaar,Tynaarlo,Nederlandse achtergrond,1872,910,962, , , 
70 tot 75 jaar,Tynaarlo,Westerse migratieachtergrond,96,43,53,33,12,21
70 tot 75 jaar,Tynaarlo,Niet-westerse migratieachtergrond,11,3,8,10,3,7
70 tot 75 jaar,Tytsjerksteradiel,Totaal,1872,918,954,29,12,17
70 tot 75 jaar,Tytsjerksteradiel,Nederlandse achtergrond,1796,889,907, , , 
70 tot 75 jaar,Tytsjerksteradiel,Westerse migratieachtergrond,71,28,43,24,11,13
70 tot 75 jaar,Tytsjerksteradiel,Niet-westerse migratieachtergrond,5,1,4,5,1,4
70 tot 75 jaar,Uden,Totaal,2081,990,1091,98,45,53
70 tot 75 jaar,Uden,Nederlandse achtergrond,1880,896,984, , , 
70 tot 75 jaar,Uden,Westerse migratieachtergrond,152,76,76,52,28,24
70 tot 75 jaar,Uden,Niet-westerse migratieachtergrond,49,18,31,46,17,29
70 tot 75 jaar,Uitgeest,Totaal,575,285,290,25,16,9
70 tot 75 jaar,Uitgeest,Nederlandse achtergrond,520,252,268, , , 
70 tot 75 jaar,Uitgeest,Westerse migratieachtergrond,44,27,17,15,10,5
70 tot 75 jaar,Uitgeest,Niet-westerse migratieachtergrond,11,6,5,10,6,4
70 tot 75 jaar,Uithoorn,Totaal,1359,639,720,105,63,42
70 tot 75 jaar,Uithoorn,Nederlandse achtergrond,1198,555,643, , , 
70 tot 75 jaar,Uithoorn,Westerse migratieachtergrond,130,65,65,75,44,31
70 tot 75 jaar,Uithoorn,Niet-westerse migratieachtergrond,31,19,12,30,19,11
70 tot 75 jaar,Urk,Totaal,502,228,274,8,5,3
70 tot 75 jaar,Urk,Nederlandse achtergrond,492,222,270, , , 
70 tot 75 jaar,Urk,Westerse migratieachtergrond,6,4,2,4,3,1
70 tot 75 jaar,Urk,Niet-westerse migratieachtergrond,4,2,2,4,2,2
70 tot 75 jaar,Utrecht (gemeente),Totaal,8562,3899,4663,1646,802,844
70 tot 75 jaar,Utrecht (gemeente),Nederlandse achtergrond,6504,2887,3617, , , 
70 tot 75 jaar,Utrecht (gemeente),Westerse migratieachtergrond,829,384,445,426,178,248
70 tot 75 jaar,Utrecht (gemeente),Niet-westerse migratieachtergrond,1229,628,601,1220,624,596
70 tot 75 jaar,Utrechtse Heuvelrug,Totaal,2843,1297,1546,132,50,82
70 tot 75 jaar,Utrechtse Heuvelrug,Nederlandse achtergrond,2576,1180,1396, , , 
70 tot 75 jaar,Utrechtse Heuvelrug,Westerse migratieachtergrond,220,90,130,88,25,63
70 tot 75 jaar,Utrechtse Heuvelrug,Niet-westerse migratieachtergrond,47,27,20,44,25,19
70 tot 75 jaar,Vaals,Totaal,694,349,345,167,98,69
70 tot 75 jaar,Vaals,Nederlandse achtergrond,407,187,220, , , 
70 tot 75 jaar,Vaals,Westerse migratieachtergrond,277,155,122,157,91,66
70 tot 75 jaar,Vaals,Niet-westerse migratieachtergrond,10,7,3,10,7,3
70 tot 75 jaar,Valkenburg aan de Geul,Totaal,1170,570,600,52,25,27
70 tot 75 jaar,Valkenburg aan de Geul,Nederlandse achtergrond,995,475,520, , , 
70 tot 75 jaar,Valkenburg aan de Geul,Westerse migratieachtergrond,169,93,76,46,23,23
70 tot 75 jaar,Valkenburg aan de Geul,Niet-westerse migratieachtergrond,6,2,4,6,2,4
70 tot 75 jaar,Valkenswaard,Totaal,1953,937,1016,54,31,23
70 tot 75 jaar,Valkenswaard,Nederlandse achtergrond,1713,834,879, , , 
70 tot 75 jaar,Valkenswaard,Westerse migratieachtergrond,225,96,129,40,24,16
70 tot 75 jaar,Valkenswaard,Niet-westerse migratieachtergrond,15,7,8,14,7,7
70 tot 75 jaar,Veendam,Totaal,1566,763,803,56,26,30
70 tot 75 jaar,Veendam,Nederlandse achtergrond,1472,716,756, , , 
70 tot 75 jaar,Veendam,Westerse migratieachtergrond,66,34,32,28,13,15
70 tot 75 jaar,Veendam,Niet-westerse migratieachtergrond,28,13,15,28,13,15
70 tot 75 jaar,Veenendaal,Totaal,2840,1372,1468,201,110,91
70 tot 75 jaar,Veenendaal,Nederlandse achtergrond,2526,1203,1323, , , 
70 tot 75 jaar,Veenendaal,Westerse migratieachtergrond,180,95,85,69,37,32
70 tot 75 jaar,Veenendaal,Niet-westerse migratieachtergrond,134,74,60,132,73,59
70 tot 75 jaar,Veere,Totaal,1434,720,714,47,25,22
70 tot 75 jaar,Veere,Nederlandse achtergrond,1333,671,662, , , 
70 tot 75 jaar,Veere,Westerse migratieachtergrond,94,47,47,41,23,18
70 tot 75 jaar,Veere,Niet-westerse migratieachtergrond,7,2,5,6,2,4
70 tot 75 jaar,Veldhoven,Totaal,2270,1099,1171,77,31,46
70 tot 75 jaar,Veldhoven,Nederlandse achtergrond,1994,971,1023, , , 
70 tot 75 jaar,Veldhoven,Westerse migratieachtergrond,255,120,135,58,24,34
70 tot 75 jaar,Veldhoven,Niet-westerse migratieachtergrond,21,8,13,19,7,12
70 tot 75 jaar,Velsen,Totaal,3182,1554,1628,187,88,99
70 tot 75 jaar,Velsen,Nederlandse achtergrond,2840,1382,1458, , , 
70 tot 75 jaar,Velsen,Westerse migratieachtergrond,271,143,128,116,59,57
70 tot 75 jaar,Velsen,Niet-westerse migratieachtergrond,71,29,42,71,29,42
70 tot 75 jaar,Venlo,Totaal,5069,2488,2581,533,316,217
70 tot 75 jaar,Venlo,Nederlandse achtergrond,3966,1895,2071, , , 
70 tot 75 jaar,Venlo,Westerse migratieachtergrond,920,492,428,351,216,135
70 tot 75 jaar,Venlo,Niet-westerse migratieachtergrond,183,101,82,182,100,82
70 tot 75 jaar,Venray,Totaal,2204,1116,1088,142,85,57
70 tot 75 jaar,Venray,Nederlandse achtergrond,1899,949,950, , , 
70 tot 75 jaar,Venray,Westerse migratieachtergrond,228,120,108,67,40,27
70 tot 75 jaar,Venray,Niet-westerse migratieachtergrond,77,47,30,75,45,30
70 tot 75 jaar,Vianen,Totaal,1061,508,553,68,29,39
70 tot 75 jaar,Vianen,Nederlandse achtergrond,957,461,496, , , 
70 tot 75 jaar,Vianen,Westerse migratieachtergrond,71,29,42,37,12,25
70 tot 75 jaar,Vianen,Niet-westerse migratieachtergrond,33,18,15,31,17,14
70 tot 75 jaar,Vlaardingen,Totaal,3613,1719,1894,367,165,202
70 tot 75 jaar,Vlaardingen,Nederlandse achtergrond,3125,1500,1625, , , 
70 tot 75 jaar,Vlaardingen,Westerse migratieachtergrond,256,100,156,139,50,89
70 tot 75 jaar,Vlaardingen,Niet-westerse migratieachtergrond,232,119,113,228,115,113
70 tot 75 jaar,Vlagtwedde,Totaal,1010,494,516,17,5,12
70 tot 75 jaar,Vlagtwedde,Nederlandse achtergrond,956,471,485, , , 
70 tot 75 jaar,Vlagtwedde,Westerse migratieachtergrond,52,22,30,15,4,11
70 tot 75 jaar,Vlagtwedde,Niet-westerse migratieachtergrond,2,1,1,2,1,1
70 tot 75 jaar,Vlieland,Totaal,66,34,32,0,0,0
70 tot 75 jaar,Vlieland,Nederlandse achtergrond,61,32,29, , , 
70 tot 75 jaar,Vlieland,Westerse migratieachtergrond,5,2,3,0,0,0
70 tot 75 jaar,Vlieland,Niet-westerse migratieachtergrond,0,0,0,0,0,0
70 tot 75 jaar,Vlissingen,Totaal,2525,1236,1289,223,116,107
70 tot 75 jaar,Vlissingen,Nederlandse achtergrond,2201,1064,1137, , , 
70 tot 75 jaar,Vlissingen,Westerse migratieachtergrond,257,137,120,158,82,76
70 tot 75 jaar,Vlissingen,Niet-westerse migratieachtergrond,67,35,32,65,34,31
70 tot 75 jaar,Voerendaal,Totaal,836,426,410,17,8,9
70 tot 75 jaar,Voerendaal,Nederlandse achtergrond,684,343,341, , , 
70 tot 75 jaar,Voerendaal,Westerse migratieachtergrond,151,82,69,16,7,9
70 tot 75 jaar,Voerendaal,Niet-westerse migratieachtergrond,1,1,0,1,1,0
70 tot 75 jaar,Voorschoten,Totaal,1342,658,684,100,52,48
70 tot 75 jaar,Voorschoten,Nederlandse achtergrond,1155,564,591, , , 
70 tot 75 jaar,Voorschoten,Westerse migratieachtergrond,146,75,71,65,34,31
70 tot 75 jaar,Voorschoten,Niet-westerse migratieachtergrond,41,19,22,35,18,17
70 tot 75 jaar,Voorst,Totaal,1358,691,667,44,20,24
70 tot 75 jaar,Voorst,Nederlandse achtergrond,1256,645,611, , , 
70 tot 75 jaar,Voorst,Westerse migratieachtergrond,84,38,46,27,12,15
70 tot 75 jaar,Voorst,Niet-westerse migratieachtergrond,18,8,10,17,8,9
70 tot 75 jaar,Vught,Totaal,1203,600,603,55,26,29
70 tot 75 jaar,Vught,Nederlandse achtergrond,1095,550,545, , , 
70 tot 75 jaar,Vught,Westerse migratieachtergrond,98,46,52,45,22,23
70 tot 75 jaar,Vught,Niet-westerse migratieachtergrond,10,4,6,10,4,6
70 tot 75 jaar,Waalre,Totaal,1018,480,538,50,22,28
70 tot 75 jaar,Waalre,Nederlandse achtergrond,889,420,469, , , 
70 tot 75 jaar,Waalre,Westerse migratieachtergrond,120,54,66,41,16,25
70 tot 75 jaar,Waalre,Niet-westerse migratieachtergrond,9,6,3,9,6,3
70 tot 75 jaar,Waalwijk,Totaal,2559,1232,1327,129,60,69
70 tot 75 jaar,Waalwijk,Nederlandse achtergrond,2345,1145,1200, , , 
70 tot 75 jaar,Waalwijk,Westerse migratieachtergrond,156,62,94,73,37,36
70 tot 75 jaar,Waalwijk,Niet-westerse migratieachtergrond,58,25,33,56,23,33
70 tot 75 jaar,Waddinxveen,Totaal,1256,610,646,72,34,38
70 tot 75 jaar,Waddinxveen,Nederlandse achtergrond,1137,554,583, , , 
70 tot 75 jaar,Waddinxveen,Westerse migratieachtergrond,78,31,47,34,10,24
70 tot 75 jaar,Waddinxveen,Niet-westerse migratieachtergrond,41,25,16,38,24,14
70 tot 75 jaar,Wageningen,Totaal,1462,670,792,98,44,54
70 tot 75 jaar,Wageningen,Nederlandse achtergrond,1273,590,683, , , 
70 tot 75 jaar,Wageningen,Westerse migratieachtergrond,155,55,100,66,19,47
70 tot 75 jaar,Wageningen,Niet-westerse migratieachtergrond,34,25,9,32,25,7
70 tot 75 jaar,Wassenaar,Totaal,1562,696,866,130,43,87
70 tot 75 jaar,Wassenaar,Nederlandse achtergrond,1291,586,705, , , 
70 tot 75 jaar,Wassenaar,Westerse migratieachtergrond,232,93,139,98,30,68
70 tot 75 jaar,Wassenaar,Niet-westerse migratieachtergrond,39,17,22,32,13,19
70 tot 75 jaar,Waterland,Totaal,1084,526,558,50,22,28
70 tot 75 jaar,Waterland,Nederlandse achtergrond,993,483,510, , , 
70 tot 75 jaar,Waterland,Westerse migratieachtergrond,75,36,39,36,16,20
70 tot 75 jaar,Waterland,Niet-westerse migratieachtergrond,16,7,9,14,6,8
70 tot 75 jaar,Weert,Totaal,2812,1388,1424,229,122,107
70 tot 75 jaar,Weert,Nederlandse achtergrond,2334,1151,1183, , , 
70 tot 75 jaar,Weert,Westerse migratieachtergrond,365,177,188,117,62,55
70 tot 75 jaar,Weert,Niet-westerse migratieachtergrond,113,60,53,112,60,52
70 tot 75 jaar,Weesp,Totaal,888,421,467,93,43,50
70 tot 75 jaar,Weesp,Nederlandse achtergrond,745,357,388, , , 
70 tot 75 jaar,Weesp,Westerse migratieachtergrond,92,37,55,44,18,26
70 tot 75 jaar,Weesp,Niet-westerse migratieachtergrond,51,27,24,49,25,24
70 tot 75 jaar,Werkendam,Totaal,1385,685,700,30,15,15
70 tot 75 jaar,Werkendam,Nederlandse achtergrond,1325,652,673, , , 
70 tot 75 jaar,Werkendam,Westerse migratieachtergrond,52,29,23,23,12,11
70 tot 75 jaar,Werkendam,Niet-westerse migratieachtergrond,8,4,4,7,3,4
70 tot 75 jaar,West Maas en Waal,Totaal,988,504,484,13,6,7
70 tot 75 jaar,West Maas en Waal,Nederlandse achtergrond,919,474,445, , , 
70 tot 75 jaar,West Maas en Waal,Westerse migratieachtergrond,66,29,37,11,6,5
70 tot 75 jaar,West Maas en Waal,Niet-westerse migratieachtergrond,3,1,2,2,0,2
70 tot 75 jaar,Westerveld,Totaal,1369,652,717,18,7,11
70 tot 75 jaar,Westerveld,Nederlandse achtergrond,1306,626,680, , , 
70 tot 75 jaar,Westerveld,Westerse migratieachtergrond,59,24,35,15,6,9
70 tot 75 jaar,Westerveld,Niet-westerse migratieachtergrond,4,2,2,3,1,2
70 tot 75 jaar,Westervoort,Totaal,634,316,318,37,25,12
70 tot 75 jaar,Westervoort,Nederlandse achtergrond,540,268,272, , , 
70 tot 75 jaar,Westervoort,Westerse migratieachtergrond,82,40,42,25,17,8
70 tot 75 jaar,Westervoort,Niet-westerse migratieachtergrond,12,8,4,12,8,4
70 tot 75 jaar,Westland,Totaal,5141,2540,2601,186,102,84
70 tot 75 jaar,Westland,Nederlandse achtergrond,4805,2355,2450, , , 
70 tot 75 jaar,Westland,Westerse migratieachtergrond,251,129,122,104,47,57
70 tot 75 jaar,Westland,Niet-westerse migratieachtergrond,85,56,29,82,55,27
70 tot 75 jaar,Weststellingwerf,Totaal,1454,748,706,30,18,12
70 tot 75 jaar,Weststellingwerf,Nederlandse achtergrond,1365,702,663, , , 
70 tot 75 jaar,Weststellingwerf,Westerse migratieachtergrond,78,39,39,21,11,10
70 tot 75 jaar,Weststellingwerf,Niet-westerse migratieachtergrond,11,7,4,9,7,2
70 tot 75 jaar,Westvoorne,Totaal,928,479,449,29,17,12
70 tot 75 jaar,Westvoorne,Nederlandse achtergrond,870,451,419, , , 
70 tot 75 jaar,Westvoorne,Westerse migratieachtergrond,53,24,29,24,13,11
70 tot 75 jaar,Westvoorne,Niet-westerse migratieachtergrond,5,4,1,5,4,1
70 tot 75 jaar,Wierden,Totaal,1274,622,652,30,14,16
70 tot 75 jaar,Wierden,Nederlandse achtergrond,1190,584,606, , , 
70 tot 75 jaar,Wierden,Westerse migratieachtergrond,74,31,43,20,7,13
70 tot 75 jaar,Wierden,Niet-westerse migratieachtergrond,10,7,3,10,7,3
70 tot 75 jaar,Wijchen,Totaal,2138,1063,1075,60,22,38
70 tot 75 jaar,Wijchen,Nederlandse achtergrond,1908,958,950, , , 
70 tot 75 jaar,Wijchen,Westerse migratieachtergrond,215,99,116,46,16,30
70 tot 75 jaar,Wijchen,Niet-westerse migratieachtergrond,15,6,9,14,6,8
70 tot 75 jaar,Wijdemeren,Totaal,1525,713,812,50,21,29
70 tot 75 jaar,Wijdemeren,Nederlandse achtergrond,1392,650,742, , , 
70 tot 75 jaar,Wijdemeren,Westerse migratieachtergrond,122,58,64,41,17,24
70 tot 75 jaar,Wijdemeren,Niet-westerse migratieachtergrond,11,5,6,9,4,5
70 tot 75 jaar,Wijk bij Duurstede,Totaal,1106,559,547,50,20,30
70 tot 75 jaar,Wijk bij Duurstede,Nederlandse achtergrond,1008,515,493, , , 
70 tot 75 jaar,Wijk bij Duurstede,Westerse migratieachtergrond,85,39,46,37,15,22
70 tot 75 jaar,Wijk bij Duurstede,Niet-westerse migratieachtergrond,13,5,8,13,5,8
70 tot 75 jaar,Winsum,Totaal,797,383,414,15,6,9
70 tot 75 jaar,Winsum,Nederlandse achtergrond,752,365,387, , , 
70 tot 75 jaar,Winsum,Westerse migratieachtergrond,42,18,24,12,6,6
70 tot 75 jaar,Winsum,Niet-westerse migratieachtergrond,3,0,3,3,0,3
70 tot 75 jaar,Winterswijk,Totaal,1577,778,799,71,37,34
70 tot 75 jaar,Winterswijk,Nederlandse achtergrond,1409,693,716, , , 
70 tot 75 jaar,Winterswijk,Westerse migratieachtergrond,147,71,76,51,24,27
70 tot 75 jaar,Winterswijk,Niet-westerse migratieachtergrond,21,14,7,20,13,7
70 tot 75 jaar,Woensdrecht,Totaal,1428,730,698,108,54,54
70 tot 75 jaar,Woensdrecht,Nederlandse achtergrond,1226,626,600, , , 
70 tot 75 jaar,Woensdrecht,Westerse migratieachtergrond,193,98,95,100,49,51
70 tot 75 jaar,Woensdrecht,Niet-westerse migratieachtergrond,9,6,3,8,5,3
70 tot 75 jaar,Woerden,Totaal,2370,1191,1179,125,56,69
70 tot 75 jaar,Woerden,Nederlandse achtergrond,2158,1096,1062, , , 
70 tot 75 jaar,Woerden,Westerse migratieachtergrond,157,66,91,70,27,43
70 tot 75 jaar,Woerden,Niet-westerse migratieachtergrond,55,29,26,55,29,26
70 tot 75 jaar,De Wolden,Totaal,1353,676,677,16,10,6
70 tot 75 jaar,De Wolden,Nederlandse achtergrond,1307,652,655, , , 
70 tot 75 jaar,De Wolden,Westerse migratieachtergrond,42,22,20,12,8,4
70 tot 75 jaar,De Wolden,Niet-westerse migratieachtergrond,4,2,2,4,2,2
70 tot 75 jaar,Wormerland,Totaal,959,465,494,32,15,17
70 tot 75 jaar,Wormerland,Nederlandse achtergrond,900,435,465, , , 
70 tot 75 jaar,Wormerland,Westerse migratieachtergrond,47,24,23,20,9,11
70 tot 75 jaar,Wormerland,Niet-westerse migratieachtergrond,12,6,6,12,6,6
70 tot 75 jaar,Woudenberg,Totaal,628,289,339,15,4,11
70 tot 75 jaar,Woudenberg,Nederlandse achtergrond,591,274,317, , , 
70 tot 75 jaar,Woudenberg,Westerse migratieachtergrond,29,14,15,10,4,6
70 tot 75 jaar,Woudenberg,Niet-westerse migratieachtergrond,8,1,7,5,0,5
70 tot 75 jaar,Woudrichem,Totaal,736,381,355,11,4,7
70 tot 75 jaar,Woudrichem,Nederlandse achtergrond,717,373,344, , , 
70 tot 75 jaar,Woudrichem,Westerse migratieachtergrond,15,7,8,8,4,4
70 tot 75 jaar,Woudrichem,Niet-westerse migratieachtergrond,4,1,3,3,0,3
70 tot 75 jaar,Zaanstad,Totaal,7192,3420,3772,749,344,405
70 tot 75 jaar,Zaanstad,Nederlandse achtergrond,6131,2932,3199, , , 
70 tot 75 jaar,Zaanstad,Westerse migratieachtergrond,598,276,322,297,139,158
70 tot 75 jaar,Zaanstad,Niet-westerse migratieachtergrond,463,212,251,452,205,247
70 tot 75 jaar,Zaltbommel,Totaal,1259,619,640,38,17,21
70 tot 75 jaar,Zaltbommel,Nederlandse achtergrond,1191,585,606, , , 
70 tot 75 jaar,Zaltbommel,Westerse migratieachtergrond,50,25,25,20,8,12
70 tot 75 jaar,Zaltbommel,Niet-westerse migratieachtergrond,18,9,9,18,9,9
70 tot 75 jaar,Zandvoort,Totaal,1217,582,635,88,50,38
70 tot 75 jaar,Zandvoort,Nederlandse achtergrond,1038,487,551, , , 
70 tot 75 jaar,Zandvoort,Westerse migratieachtergrond,153,78,75,63,33,30
70 tot 75 jaar,Zandvoort,Niet-westerse migratieachtergrond,26,17,9,25,17,8
70 tot 75 jaar,Zederik,Totaal,683,357,326,8,3,5
70 tot 75 jaar,Zederik,Nederlandse achtergrond,668,350,318, , , 
